,date_clean,trail,target,PRCP,PRCP_3d,PRCP_5d,TMAX_5d
6,2020-01-01,Caesar Creek,0,0.0,0.0,0.0,48.0
23,2020-01-02,Caesar Creek,0,0.46,0.46,0.46,49.0
30,2020-01-03,Caesar Creek,0,0.68,1.1400000000000001,1.1400000000000001,50.333333333333336
41,2020-01-04,Caesar Creek,0,0.06,1.2,1.2,49.5
55,2020-01-05,Caesar Creek,0,0.0,0.74,1.2,48.8
67,2020-01-06,Caesar Creek,0,0.0,0.05999999999999989,1.2,48.8
78,2020-01-07,Caesar Creek,1,0.0,0.0,0.74,48.6
91,2020-01-08,Caesar Creek,1,0.0,0.0,0.05999999999999989,46.0
102,2020-01-09,Caesar Creek,1,0.0,0.0,0.0,48.2
119,2020-01-10,Caesar Creek,0,0.71,0.7099999999999999,0.7099999999999999,51.2
131,2020-01-11,Caesar Creek,0,0.68,1.39,1.39,55.0
138,2020-01-12,Caesar Creek,0,0.0,1.39,1.39,54.0
151,2020-01-13,Caesar Creek,0,0.0,0.6799999999999999,1.39,55.8
162,2020-01-14,Caesar Creek,1,0.0,0.0,1.39,55.0
175,2020-01-15,Caesar Creek,1,0.0,0.0,0.6799999999999999,54.4
187,2020-01-16,Caesar Creek,1,0.0,0.0,0.0,50.2
198,2020-01-17,Caesar Creek,1,0.0,0.0,0.0,48.2
211,2020-01-18,Caesar Creek,0,0.69,0.6899999999999998,0.6899999999999998,48.8
222,2020-01-19,Caesar Creek,1,0.0,0.6899999999999998,0.6899999999999998,44.0
234,2020-01-20,Caesar Creek,1,0.0,0.6899999999999998,0.6899999999999998,38.0
251,2020-01-21,Caesar Creek,1,0.0,0.0,0.6899999999999998,35.2
263,2020-01-22,Caesar Creek,0,0.0,0.0,0.6899999999999998,36.4
270,2020-01-23,Caesar Creek,0,0.13,0.1299999999999999,0.1299999999999999,35.4
283,2020-01-24,Caesar Creek,0,0.57,0.6999999999999998,0.6999999999999998,39.2
295,2020-01-25,Caesar Creek,0,0.05,0.7499999999999999,0.7499999999999999,41.4
306,2020-01-26,Caesar Creek,0,0.0,0.6199999999999999,0.7499999999999999,43.8
319,2020-01-27,Caesar Creek,0,0.0,0.04999999999999989,0.7499999999999999,43.4
330,2020-01-28,Caesar Creek,0,0.0,0.0,0.6199999999999999,41.0
342,2020-01-29,Caesar Creek,0,0.0,0.0,0.04999999999999989,38.2
359,2020-01-30,Caesar Creek,0,0.0,0.0,0.0,38.2
366,2020-01-31,Caesar Creek,0,0.8099999999999999,0.8099999999999998,0.8099999999999998,36.8
378,2020-02-01,Caesar Creek,0,0.0,0.8099999999999998,0.8099999999999998,37.6
390,2020-02-02,Caesar Creek,0,0.0,0.8099999999999998,0.8099999999999998,43.4
402,2020-02-03,Caesar Creek,1,0.0,0.0,0.8099999999999998,49.2
418,2020-02-04,Caesar Creek,0,0.35,0.34999999999999987,1.1599999999999997,53.8
431,2020-02-05,Caesar Creek,0,0.33,0.6799999999999999,0.6799999999999999,53.8
439,2020-02-06,Caesar Creek,0,0.1,0.7799999999999999,0.7799999999999999,52.2
450,2020-02-07,Caesar Creek,0,1.8900000000000001,2.3200000000000003,2.67,46.0
462,2020-02-08,Caesar Creek,0,1.2200000000000002,3.21,3.89,40.2
479,2020-02-09,Caesar Creek,0,0.27,3.38,3.81,36.8
486,2020-02-10,Caesar Creek,0,0.1,1.5900000000000003,3.58,39.2
497,2020-02-11,Caesar Creek,0,0.17,0.54,3.6500000000000004,40.6
511,2020-02-12,Caesar Creek,0,1.06,1.33,2.8200000000000003,41.4
523,2020-02-13,Caesar Creek,0,0.17,1.4,1.7699999999999998,42.4
