,date_clean,trail,PRCP,PRCP_3d,PRCP_5d,TMAX_5d
91,2023-09-26,Caesar Creek,0.01299212598425197,0.01299212598425197,0.01299212598425197,80.28200000000001
72,2023-09-27,Caesar Creek,0.3598425196850394,0.37283464566929136,0.37283464566929136,77.742
66,2023-09-28,Caesar Creek,0.05996850393700788,0.43280314960629923,0.43280314960629923,75.636
52,2023-09-29,Caesar Creek,0.0,0.41981102362204725,0.43280314960629923,76.53599999999999
37,2023-09-30,Caesar Creek,0.0,0.05996850393700788,0.43280314960629923,77.66
26,2023-10-01,Caesar Creek,0.0,0.0,0.41981102362204725,78.214
23,2023-10-02,Caesar Creek,0.0,0.0,0.05996850393700788,81.338
7,2023-10-03,Caesar Creek,0.0,0.0,0.0,84.578
93,2023-09-26,Devou Park,0.02148031496062992,0.02148031496062992,0.02148031496062992,82.086
74,2023-09-27,Devou Park,0.2409448818897638,0.2624251968503937,0.2624251968503937,80.174
60,2023-09-28,Devou Park,0.23177952755905515,0.49420472440944885,0.49420472440944885,78.626
58,2023-09-29,Devou Park,0.0,0.47272440944881894,0.49420472440944885,79.50399999999999
43,2023-09-30,Devou Park,0.0,0.23177952755905515,0.49420472440944885,80.63799999999999
28,2023-10-01,Devou Park,0.0,0.0,0.47272440944881894,80.984
19,2023-10-02,Devou Park,0.0,0.0,0.23177952755905515,83.46600000000001
4,2023-10-03,Devou Park,0.0,0.0,0.0,85.866
86,2023-09-26,East Fork State Park,0.016633858267716538,0.016633858267716538,0.016633858267716538,79.7
80,2023-09-27,East Fork State Park,0.2835826771653543,0.3002165354330708,0.3002165354330708,77.852
65,2023-09-28,East Fork State Park,0.46574803149606303,0.7659645669291338,0.7659645669291338,76.55
48,2023-09-29,East Fork State Park,0.0,0.7493307086614173,0.7659645669291338,77.848
44,2023-09-30,East Fork State Park,0.0,0.46574803149606303,0.7659645669291338,79.57
31,2023-10-01,East Fork State Park,0.0,0.0,0.7493307086614173,79.602
18,2023-10-02,East Fork State Park,0.0,0.0,0.46574803149606303,82.43599999999999
11,2023-10-03,East Fork State Park,0.0,0.0,0.0,85.07
84,2023-09-26,England Idlewild,0.0,0.0,0.0,81.772
83,2023-09-27,England Idlewild,0.22322834645669293,0.22322834645669293,0.22322834645669293,80.35
62,2023-09-28,England Idlewild,0.2778622047244095,0.5010905511811024,0.5010905511811024,78.65
56,2023-09-29,England Idlewild,0.0,0.5010905511811024,0.5010905511811024,79.45599999999999
41,2023-09-30,England Idlewild,0.0,0.2778622047244095,0.5010905511811024,80.48599999999999
27,2023-10-01,England Idlewild,0.0,0.0,0.5010905511811024,80.73
17,2023-10-02,England Idlewild,0.0,0.0,0.2778622047244095,82.796
5,2023-10-03,England Idlewild,0.0,0.0,0.0,85.30600000000001
90,2023-09-26,Harbin Park,0.04660236220472441,0.04660236220472441,0.04660236220472441,81.32
82,2023-09-27,Harbin Park,0.28070866141732287,0.3273110236220473,0.3273110236220473,79.188
