"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-22",,,,,"0.06",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-23",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-25",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-27",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-06-30",,,,,"0.35",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-07-01",,,,,"1.28",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-07-02",,,,,"0.22",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-07-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-07-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-07-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-07-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2021-07-07",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
