trail,date,status
Caesar Creek,2023-03-20 21:15:04,caution
Caesar Creek,2023-03-19 7:45:03,freeze
Caesar Creek,2023-03-17 8:45:04,closed
Caesar Creek,2023-03-15 21:30:04,caution
Caesar Creek,2023-03-14 10:15:04,closed
Caesar Creek,2023-03-12 14:00:07,caution
Caesar Creek,2023-03-09 22:15:03,closed
Caesar Creek,2023-03-06 8:45:05,caution
Caesar Creek,2023-03-01 22:00:07,closed
Caesar Creek,2023-03-01 17:00:10,caution
Caesar Creek,2023-02-27 11:30:03,closed
Caesar Creek,2023-02-25 11:15:03,caution
Caesar Creek,2023-02-23 8:15:03,closed
Caesar Creek,2023-02-19 14:00:05,caution
Caesar Creek,2023-02-16 7:30:02,closed
Caesar Creek,2023-02-10 18:30:03,caution
Caesar Creek,2023-02-04 17:30:03,closed
Caesar Creek,2023-02-03 6:00:04,freeze
Caesar Creek,2023-01-12 6:30:02,closed
Caesar Creek,2023-01-09 19:00:08,caution
Caesar Creek,2022-12-28 17:00:08,closed
Caesar Creek,2022-12-23 8:00:07,freeze
Caesar Creek,2022-12-22 9:45:03,closed
Caesar Creek,2022-12-10 8:00:05,caution
Caesar Creek,2022-11-27 10:00:04,closed
Caesar Creek,2022-11-18 8:45:03,caution
Caesar Creek,2022-11-16 13:30:03,closed
Caesar Creek,2022-11-14 11:45:03,caution
Caesar Creek,2022-11-11 13:30:04,closed
Caesar Creek,2022-10-26 9:00:04,caution
Caesar Creek,2022-10-14 11:45:03,open
Caesar Creek,2022-10-13 7:45:02,caution
Caesar Creek,2022-09-13 18:15:05,open
Caesar Creek,2022-09-12 7:30:03,caution
Caesar Creek,2022-09-08 18:00:06,open
Caesar Creek,2022-09-07 18:45:04,caution
Caesar Creek,2022-09-03 11:30:04,closed
Caesar Creek,2022-09-01 14:45:02,open
Caesar Creek,2022-08-31 8:45:03,caution
Caesar Creek,2022-08-29 16:45:03,closed
Caesar Creek,2022-08-22 18:45:04,open
Caesar Creek,2022-08-20 16:00:05,closed
Caesar Creek,2022-08-16 10:30:04,open
Caesar Creek,2022-08-15 6:30:03,caution
Caesar Creek,2022-08-11 17:00:05,open
Caesar Creek,2022-08-11 8:30:04,caution
Caesar Creek,2022-08-09 10:15:04,closed
Caesar Creek,2022-08-07 10:15:04,open
Caesar Creek,2022-08-06 15:00:05,caution
Caesar Creek,2022-08-05 9:30:03,closed
Caesar Creek,2022-07-31 10:00:04,caution
Caesar Creek,2022-07-30 17:45:04,open
Caesar Creek,2022-07-27 8:30:05,caution
Caesar Creek,2022-07-21 22:45:03,open
Caesar Creek,2022-07-18 21:15:04,caution
Caesar Creek,2022-07-17 7:30:04,closed
Caesar Creek,2022-07-10 16:00:03,open
Caesar Creek,2022-07-10 11:00:05,caution
Caesar Creek,2022-07-06 18:30:04,closed
Caesar Creek,2022-06-18 12:15:03,open
Caesar Creek,2022-06-16 20:00:12,caution
Caesar Creek,2022-06-06 16:00:05,closed
Caesar Creek,2022-06-04 8:45:03,open
Caesar Creek,2022-06-03 11:30:04,caution
Caesar Creek,2022-06-01 22:00:05,closed
