,importance
0,0.37906626
1,0.30373657
2,0.17180073
3,0.14539643
4,0.58500475
5,0.20015375
6,0.110463776
7,0.10437777
8,0.5450656
9,0.16882911
10,0.15054545
11,0.13555987
12,0.3248329
13,0.25125495
14,0.21459758
15,0.20931451
16,0.5828362
17,0.18704647
18,0.14407659
19,0.08604067
20,0.5050126
21,0.26206926
22,0.12342557
23,0.10949266
24,0.38267815
25,0.29995582
26,0.19572535
27,0.12164064
28,0.6211861
29,0.30468464
30,0.052669086
31,0.021460239
32,0.5205964
33,0.17937087
34,0.16068701
35,0.13934572
36,0.40145457
37,0.2360637
38,0.23016585
39,0.13231586
40,0.3332739
41,0.30027643
42,0.23467043
43,0.13177925
44,0.5258621
45,0.20867105
46,0.14450125
47,0.12096557
