,PRCP,PRCP_3d,PRCP_5d,TMAX_5d
0,0.2545472,1.1050143,0.53485775,1.0545722
1,0.21085973,0.8032457,0.3848236,-1.1392018
2,-0.0025090748,0.555579,1.1051558,1.2376897
3,0.45947173,-0.6239244,-0.55094147,-0.79507315
4,0.21085973,-0.17415129,0.46545944,-0.18067667
5,-1.1612813,-0.5928346,-0.75851095,-0.45872447
6,-1.5145302,-0.8786635,-0.9742837,1.1072809
7,0.29571652,1.1032279,0.9675464,1.3354591
8,0.21272852,0.7525963,0.857081,-1.3194045
9,0.03320815,-0.514417,0.7458853,0.4147476
10,0.34283128,-0.39268085,0.04342233,-0.8730897
11,-0.87413734,-0.48503283,-0.97399634,1.0370228
12,-1.1908625,-0.5692204,-0.88280356,-0.5721486
13,-1.1908625,-0.5865893,-0.85133004,-0.68872565
14,0.032729242,-0.5497857,0.690206,-0.31323406
15,0.29643136,0.99785656,0.9498908,1.5292244
16,0.5431745,-0.8177085,-0.67389506,1.3987484
17,0.45947173,-0.71364915,-0.6720475,-0.3930356
18,0.45947173,-0.44777593,-0.5474339,-0.8231425
19,-1.1908625,-0.774604,-0.97243613,-0.27713257
20,0.29643136,1.07975,0.9675464,1.4296755
21,0.50592744,1.035102,-0.5567514,1.4987454
22,0.29643136,0.2098114,0.9659776,1.2957078
23,0.2968946,-0.50254405,0.63703007,1.5456918
24,-0.32401097,-0.39455843,0.8072631,-0.76561224
25,-1.5145302,-0.8786635,-0.9742837,1.1072809
26,0.21085973,0.050738964,0.43357056,-0.7642406
27,0.42222455,-0.44554695,-0.39384726,-0.8231425
28,0.0035198778,-0.68894565,-0.626561,-0.36761904
29,0.430536,0.90052885,-0.52818626,-0.99328136
30,0.2975416,0.99964327,0.7025458,1.5846504
31,0.21272852,1.2410437,1.0327759,0.1653303
32,0.2811249,-0.5962963,0.632444,1.1084274
33,0.29456258,0.99964327,0.53894496,1.6056474
34,0.21383876,-0.34667635,0.61903596,-1.0569545
35,0.032729242,-0.39848614,0.60462475,-0.9095424
36,0.29643136,0.99785656,0.9498908,1.5292244
37,-1.3986164,-0.5169076,-0.77929693,1.1473216
38,-1.510216,-0.6816574,-0.9748635,0.78421867
39,-0.77393854,-0.45954219,-0.8707088,-0.67685825
40,0.32468864,1.2436391,-0.09116429,0.18083665
41,-0.0148778865,-0.7460107,-0.761785,-0.25689092
42,0.51657087,-0.58009946,-0.6744748,1.2023512
43,0.21272852,0.14112878,0.8796914,-1.0544938
44,-1.1908625,-0.5227828,-0.87207484,-0.629315
45,0.32702067,-0.64274347,-0.0114419125,-0.37323332
46,-0.042280745,-0.71061856,-0.7819952,1.3454739
47,0.29456258,0.2448514,0.5373763,1.5868267
48,-1.1908625,-0.62045133,-0.87558234,-0.63061136
49,0.36219063,-0.6243067,-0.032901704,0.17711128
50,0.21085973,-0.5722602,0.5577321,-0.33865058
51,0.430536,-0.73354495,-0.6725463,-0.3930356
52,0.23021905,-0.5380129,0.6134114,0.28883317
53,0.24678597,0.25995806,1.0203431,0.5798639
54,0.2524901,1.1185149,0.9675464,0.95032084
55,0.29643136,0.5295538,0.98238665,1.34033
56,0.21272852,0.7525963,0.857081,-1.3194045
57,0.45947173,-0.704224,-0.58592254,-0.67979264
58,0.5431745,-0.57344973,-0.67038757,1.4387896
59,0.21383876,0.75679207,0.53536963,-1.2697301
60,0.5348632,-0.58457834,-0.52038926,1.2023512
61,0.42222455,1.2782888,-0.5584113,0.050306328
62,-1.1908625,-0.9382069,-0.9759436,-0.27302924
63,0.21272852,0.15518081,0.8555123,-1.1808493
64,0.29643136,1.07975,0.9675464,1.4296755
65,0.430536,0.53708386,-0.65205973,-0.7884128
66,0.011831294,0.27627465,-0.61405355,-0.9701486
67,-1.2502443,-0.7737952,-1.0006714,-0.060424816
68,-1.3173227,-0.7171106,-0.8019179,0.27490208
69,0.45947173,-0.9096076,-0.675555,-0.38477615
70,-1.1612813,-0.4866061,-0.6558445,-0.7072392
71,0.21085973,0.5348658,0.4233135,-1.1053075
72,0.430536,-0.5281613,-0.5829139,-0.68805206
73,-0.821513,-0.586285,-0.97399634,0.66751045
74,0.21085973,-0.689243,0.5577321,-0.36327255
75,0.21085973,0.93471545,0.41687426,-0.7821281
76,0.21085973,-0.6884342,0.5481426,-0.28049663
77,0.026004056,-0.16585395,0.75724643,-0.7873867
78,0.51423883,0.34168404,-0.62890685,1.4799247
79,-1.4806349,-0.6634085,-0.808821,0.78421867
80,0.21272852,0.08929071,1.0062009,-0.71931785
81,0.46459332,0.35857737,-0.65202665,0.45424432
82,0.42222455,1.3401134,-0.620236,0.050306328
83,-0.044267185,-0.65635574,-0.054229684,0.30302572
84,0.21272852,1.2410437,1.0327759,0.1653303
85,0.47422343,1.2022978,-0.6309747,0.94767016
86,0.44989523,0.7793407,-0.6954669,0.39185473
87,0.024893822,0.38393378,1.0500352,-0.9588714
88,-1.1612813,-0.75554633,-0.83462906,-0.119806476
89,-1.1908625,-0.8722725,-0.9759436,-0.27842888
90,0.21272852,0.7525963,0.857081,-1.3194045
91,0.29643136,1.07975,0.9675464,1.4296755
92,0.51423883,1.17882,-0.6309747,1.3774534
93,0.025372738,0.28243265,1.1431123,0.571702
94,0.47422343,1.2022978,-0.6309747,0.94767016
95,-0.815593,-0.5227828,-0.8707088,-0.67685825
96,0.21272852,1.2410437,1.0327759,0.1653303
97,0.430536,0.90052885,-0.52818626,-0.99328136
98,0.21085973,0.93471545,0.40785196,-0.77310574
99,0.21383876,-0.36072838,0.64321506,-0.9305989
100,-1.1908625,-0.68487936,-0.85133004,-0.6791699
101,0.42222455,0.8516662,-0.49562237,-1.1341205
102,0.46459332,1.2826294,-0.6500073,0.6418749
103,0.23021905,-0.5380129,0.6134114,0.28883317
104,0.47559026,-0.88277304,-0.7037903,-0.10305436
105,0.21272852,0.7525963,0.857081,-1.3194045
106,0.29643136,1.07975,0.9675464,1.4296755
107,0.430536,-0.46767172,-0.54793274,-0.8231425
108,0.21272852,0.7525963,0.857081,-1.3194045
109,-0.025584068,-0.6430797,-0.7825749,0.9567633
110,0.21272852,0.09469133,0.91085666,-0.9554339
111,0.2975416,-0.46179092,0.8001321,1.5195864
112,-1.510216,-0.89521843,-0.978371,0.7748755
113,0.21085973,1.2428303,0.46014556,0.080069356
114,-1.4820114,-0.6816574,-0.9748635,0.75601405
115,-0.8983705,-0.9091682,-0.9960375,0.24068393
116,0.45947173,-0.71364915,-0.6720475,-0.3930356
117,0.4935291,-0.89184153,-0.69701487,0.28204215
118,-0.0148778865,-0.4809463,-0.655534,-0.7977259
119,0.45947173,-0.6441962,-0.5751938,-0.75054896
120,0.2975416,0.99964327,0.7025458,1.5846504
121,0.36445522,-0.5474152,0.31954098,1.308059
122,0.21085973,-0.34667635,0.45823088,-1.0331614
123,-1.1908625,-0.50919265,-0.87207484,-0.6429051
124,0.29456258,0.99964327,0.53894496,1.6056474
125,-1.0992641,-0.43886033,-0.8604255,-0.5721486
126,0.2545472,1.1050143,0.53485775,1.0545722
127,-0.030690107,-0.6027247,-0.035197124,0.74673074
128,-0.0025090748,0.2364788,1.088747,1.2347131
129,0.21272852,1.2418525,0.9925186,0.21743853
130,0.42222455,0.25380006,-0.4976418,-0.99556524
131,0.21272852,1.2410437,1.0327759,0.1653303
132,0.29643136,1.069499,0.9675464,1.4399264
133,0.011831294,0.27627465,-0.61405355,-0.9701486
134,0.21272852,1.2410437,1.0327759,0.1653303
135,-1.1908625,-0.68487936,-0.85133004,-0.6791699
136,-1.149208,-0.71136326,-0.97243613,-0.27713257
137,0.21383876,0.75679207,0.53536963,-1.2697301
138,0.21085973,-0.18592392,0.38899827,-0.95049965
139,0.45947173,-0.9096076,-0.675555,-0.38477615
140,-1.2317153,-0.6438631,-0.99439484,0.24604598
141,-1.1908625,-0.97056246,-0.9759436,-0.26887313
142,0.21272852,0.7629584,0.88126016,-1.195815
143,0.032729242,-0.10295986,0.50802183,-1.1086049
144,0.37688878,-0.62318534,-0.032901704,0.3111877
145,0.21272852,0.7525963,0.857081,-1.3194045
146,-1.119627,-0.6892385,-0.7804581,-0.27713257
147,-1.1719375,-0.49473032,0.051438257,1.1671239
148,0.2975416,-0.090928674,0.7174491,1.5683464
149,0.29571652,1.1032279,0.9675464,1.3354591
150,0.025372738,0.62191117,1.1595213,0.6155588
151,0.29643136,0.99785656,0.9498908,1.5292244
152,0.2975416,1.0815365,0.6984586,1.4633586
